Geo Point;NOMLONG;LIGNE;RESEAU
48.8091443609, 2.43450989593;MAISONS-ALFORT-STADE;8;METRO
48.8224378346, 2.35847388385;MAISON BLANCHE;7;METRO
48.842871275, 2.31244751307;PASTEUR;12;METRO
48.8631232146, 2.38588244933;PERE LACHAISE;3;METRO
48.8473748787, 2.39546199483;NATION;6;METRO
48.8775512518, 2.28316224223;PORTE MAILLOT;1;METRO
48.8584665494, 2.38972985235;PHILIPPE AUGUSTE;2;METRO
48.8825193856, 2.33708168251;PIGALLE;12;METRO
48.883804528, 2.32724341195;PLACE DE CLICHY;13;METRO
48.8769498481, 2.39298396482;PLACE DES FETES;7b;METRO
48.8706417323, 2.33213859959;OPERA;8;METRO
48.8772363191, 2.34929390248;POISSONNIERE;7;METRO
48.8585538264, 2.34223275937;PONT-NEUF (LA MONNAIE);7;METRO
48.8646003734, 2.40803103708;PORTE DE BAGNOLET;3;METRO
48.8974022229, 2.34484774875;PORTE DE CLIGNANCOURT;4;METRO
48.8972452884, 2.3595078691;PORTE DE LA CHAPELLE;12;METRO
48.8535439161, 2.41062642574;PORTE DE MONTREUIL;9;METRO
48.8516722456, 2.33125629137;SAINT-SULPICE;4;METRO
48.8511923493, 2.32648847397;SEVRES-BABYLONE;10;METRO
48.8517620525, 2.3268225689;SEVRES-BABYLONE;12;METRO
48.893941388, 2.34776550172;SIMPLON;4;METRO
48.8585111299, 2.32315485584;SOLFERINO;12;METRO
48.8379612135, 2.25712222985;PORTE DE SAINT-CLOUD;9;METRO
48.8471584794, 2.41014036797;PORTE DE VINCENNES;1;METRO
48.8771748193, 2.406480157;PORTE DES LILAS;11;METRO
48.8192233496, 2.35970521675;PORTE D'ITALIE;7;METRO
48.8799957944, 2.39894666246;PRE SAINT-GERVAIS;7b;METRO
48.8465154042, 2.36587346941;QUAI DE LA RAPEE;5;METRO
48.8610192599, 2.37473343128;SAINT-AMBROISE;9;METRO
48.8462772858, 2.42035081438;SAINT-MANDE;1;METRO
48.8763179623, 2.3325430273;TRINITE-D'ESTIENNE D'ORVES;12;METRO
48.8636109376, 2.28758016253;TROCADERO;6;METRO
48.8700997328, 2.32516410954;MADELEINE;12;METRO
48.857448691, 2.28581244413;PASSY;6;METRO
48.8475793675, 2.39555451217;NATION;1;METRO
48.8332167197, 2.36285639952;NATIONALE;6;METRO
48.8823901507, 2.33729479057;PIGALLE;2;METRO
48.830972673, 2.35558027408;PLACE D'ITALIE;5;METRO
48.8428668307, 2.35222472818;PLACE MONGE (JARDIN DES PLANTES);7;METRO
48.8523007631, 2.33972778159;ODEON;4;METRO
48.8847082013, 2.26051507789;PONT DE NEUILLY (AVENUE DE MADRID);1;METRO
48.8296748438, 2.23079959132;PONT DE SEVRES;9;METRO
48.8535754725, 2.35716257162;PONT-MARIE (CITE DES ARTS);7;METRO
48.8714665781, 2.27708301705;PORTE DAUPHINE;2;METRO
48.8973898907, 2.38550838768;PORTE DE LA VILLETTE;7;METRO
48.8470661332, 2.30740224062;SEGUR;10;METRO
48.8456269667, 2.3095314901;SEVRES-LECOURBE;6;METRO
48.8843851454, 2.36939198436;STALINGRAD;7;METRO
48.8694907745, 2.35439176839;STRASBOURG-SAINT-DENIS;4;METRO
48.8779727014, 2.29831037512;TERNES;2;METRO
48.8973747955, 2.32894281278;PORTE DE SAINT-OUEN;13;METRO
48.8277955435, 2.30553466965;PORTE DE VANVES;13;METRO
48.8738818542, 2.3853162151;PYRENEES;11;METRO
48.8675034238, 2.36382614398;REPUBLIQUE;11;METRO
48.8473037861, 2.38634170635;REUILLY-DIDEROT;1;METRO
48.8557264286, 2.42298321615;ROBESPIERRE;9;METRO
48.8714977394, 2.34315477308;GRANDS BOULEVARDS (RUE MONTMARTRE);8;METRO
48.8714977394, 2.34315477308;GRANDS BOULEVARDS (RUE MONTMARTRE);9;METRO
48.9299358897, 2.35603579417;SAINT-DENIS-PORTE DE PARIS;13;METRO
48.875764594, 2.32425603265;SAINT-LAZARE;14;METRO
48.8568713792, 2.31505663732;VARENNE;13;METRO
48.8630650202, 2.28624317069;TROCADERO;9;METRO
48.8260549965, 2.40674222593;LIBERTE;8;METRO
48.8812858119, 2.36554431917;LOUIS BLANC;7;METRO
48.8389609394, 2.28270002724;LOURMEL;8;METRO
48.8619369141, 2.44131094125;MAIRIE DE MONTREUIL;9;METRO
48.9119648979, 2.33392489048;MAIRIE DE SAINT-OUEN;13;METRO
